run_id,success,gens,evals,secs,fit,conflicts,colors_used,best_solution
0,1,0,200,0.0002951622009277344,0.0,0,4,"[0, 4, 2, 1, 0, 2]"
1,1,0,200,0.0003170967102050781,0.0,0,5,"[0, 1, 2, 4, 3, 4]"
2,1,0,200,0.0002129077911376953,0.0,0,4,"[0, 2, 3, 3, 1, 0]"
3,1,0,200,0.00021266937255859375,0.0,0,3,"[2, 1, 0, 0, 2, 0]"
4,1,0,200,0.0003337860107421875,0.0,0,3,"[4, 1, 3, 3, 4, 3]"
5,1,0,200,0.00024056434631347656,0.0,0,4,"[4, 1, 0, 1, 0, 2]"
6,1,0,200,0.0002110004425048828,0.0,0,4,"[4, 3, 1, 3, 0, 3]"
7,1,0,200,0.00020360946655273438,0.0,0,4,"[0, 2, 0, 3, 4, 2]"
8,1,0,200,0.00020074844360351562,0.0,0,5,"[1, 4, 0, 4, 3, 2]"
9,1,0,200,0.0002002716064453125,0.0,0,4,"[1, 4, 3, 4, 0, 1]"
10,1,0,200,0.000202178955078125,0.0,0,5,"[4, 3, 0, 0, 1, 2]"
11,1,0,200,0.00020170211791992188,0.0,0,4,"[3, 1, 2, 2, 0, 1]"
12,1,0,200,0.0002002716064453125,0.0,0,5,"[0, 3, 2, 4, 1, 3]"
13,1,0,200,0.0002002716064453125,0.0,0,4,"[0, 1, 0, 1, 2, 3]"
14,1,0,200,0.00019598007202148438,0.0,0,4,"[2, 0, 2, 0, 4, 1]"
15,1,0,200,0.00019741058349609375,0.0,0,5,"[4, 2, 1, 0, 4, 3]"
16,1,0,200,0.000202178955078125,0.0,0,3,"[3, 0, 3, 2, 3, 0]"
17,1,0,200,0.0001964569091796875,0.0,0,5,"[0, 2, 0, 4, 1, 3]"
18,1,0,200,0.0001983642578125,0.0,0,4,"[0, 2, 4, 4, 1, 0]"
19,1,0,200,0.0002028942108154297,0.0,0,5,"[1, 4, 1, 2, 3, 0]"
20,1,0,200,0.00019621849060058594,0.0,0,4,"[0, 2, 4, 4, 3, 4]"
21,1,0,200,0.0002002716064453125,0.0,0,5,"[3, 0, 1, 4, 2, 1]"
22,1,0,200,0.0002028942108154297,0.0,0,3,"[4, 2, 4, 3, 4, 3]"
23,1,0,200,0.0001990795135498047,0.0,0,3,"[3, 4, 2, 4, 2, 3]"
24,1,0,200,0.00019860267639160156,0.0,0,5,"[1, 0, 4, 3, 2, 3]"
25,1,0,200,0.00019884109497070312,0.0,0,5,"[3, 4, 0, 2, 1, 3]"
26,1,0,200,0.00019884109497070312,0.0,0,5,"[1, 2, 0, 4, 3, 0]"
27,1,0,200,0.00022220611572265625,0.0,0,5,"[3, 0, 3, 2, 4, 1]"
28,1,0,200,0.00020384788513183594,0.0,0,4,"[0, 1, 4, 4, 3, 4]"
29,1,0,200,0.00020170211791992188,0.0,0,4,"[0, 1, 0, 3, 0, 2]"
30,1,0,200,0.0002014636993408203,0.0,0,3,"[0, 2, 1, 2, 0, 1]"
31,1,0,200,0.00019860267639160156,0.0,0,4,"[3, 1, 3, 2, 0, 3]"
32,1,0,200,0.00020003318786621094,0.0,0,4,"[2, 1, 2, 1, 3, 4]"
33,1,0,200,0.0002002716064453125,0.0,0,2,"[3, 4, 3, 4, 3, 4]"
34,1,0,200,0.0001990795135498047,0.0,0,4,"[4, 1, 0, 0, 4, 3]"
35,1,0,200,0.0001983642578125,0.0,0,4,"[3, 0, 1, 4, 1, 4]"
36,1,0,200,0.00020265579223632812,0.0,0,4,"[2, 3, 4, 4, 0, 2]"
37,1,0,200,0.0001971721649169922,0.0,0,5,"[3, 1, 3, 2, 4, 0]"
38,1,0,200,0.00019788742065429688,0.0,0,5,"[2, 0, 1, 3, 4, 2]"
39,1,0,200,0.00019884109497070312,0.0,0,5,"[4, 3, 2, 2, 0, 1]"
40,1,0,200,0.0001983642578125,0.0,0,4,"[0, 4, 2, 3, 0, 4]"
41,1,0,200,0.00019693374633789062,0.0,0,4,"[2, 4, 3, 0, 3, 4]"
42,1,0,200,0.00020122528076171875,0.0,0,4,"[3, 2, 4, 0, 3, 4]"
43,1,0,200,0.00019693374633789062,0.0,0,4,"[1, 2, 4, 2, 1, 0]"
44,1,0,200,0.00019812583923339844,0.0,0,4,"[2, 4, 0, 3, 0, 3]"
45,1,0,200,0.00019931793212890625,0.0,0,3,"[1, 0, 2, 0, 1, 2]"
46,1,0,200,0.00019741058349609375,0.0,0,5,"[3, 0, 1, 2, 4, 2]"
47,1,0,200,0.00019669532775878906,0.0,0,4,"[2, 3, 0, 3, 4, 0]"
48,1,0,200,0.00019669532775878906,0.0,0,4,"[3, 4, 0, 0, 3, 1]"
49,1,0,200,0.00019741058349609375,0.0,0,4,"[3, 2, 1, 4, 3, 2]"
50,1,0,200,0.00020051002502441406,0.0,0,3,"[3, 1, 2, 2, 3, 2]"
51,1,0,200,0.0001995563507080078,0.0,0,4,"[1, 0, 1, 4, 3, 4]"
52,1,0,200,0.00020241737365722656,0.0,0,5,"[0, 3, 2, 4, 1, 0]"
53,1,0,200,0.001058816909790039,0.0,0,4,"[2, 4, 3, 3, 1, 4]"
54,1,0,200,0.00020933151245117188,0.0,0,4,"[0, 2, 0, 1, 4, 2]"
55,1,0,200,0.00019860267639160156,0.0,0,5,"[3, 2, 4, 1, 4, 0]"
